ID,Type,Lat,Lng,Time,Place
ID_jgq3v2204,Trash,41.132168,24.8590253,"2/19/2026, 2:02:26 PM",XRYSA
ID_6wzzea4vd,Trash,41.132168,24.8590253,"2/19/2026, 2:02:26 PM",XRYSA
ID_xhwn994di,Trash,41.132591,24.8606697,"2/19/2026, 2:02:46 PM",XRYSA
ID_onh3u4owc,Trash,41.132591,24.8606697,"2/19/2026, 2:02:47 PM",XRYSA
ID_q6dkpfikh,Trash,41.132591,24.8606697,"2/19/2026, 2:02:47 PM",XRYSA
ID_5x94wblor,Recycle,41.1326028,24.8607895,"2/19/2026, 2:02:51 PM",XRYSA
ID_7ide62yg7,Recycle,41.1326028,24.8607895,"2/19/2026, 2:02:52 PM",XRYSA
ID_hvze1ks2v,Recycle,41.1322498,24.8627394,"2/19/2026, 2:03:19 PM",XRYSA
ID_k08fj94fd,Trash,41.1322498,24.8627394,"2/19/2026, 2:03:19 PM",XRYSA
ID_it9thrxkf,Trash,41.1318243,24.863151,"2/19/2026, 2:03:42 PM",XRYSA
ID_4acg8ng2t,Trash,41.1318243,24.863151,"2/19/2026, 2:03:43 PM",XRYSA
ID_s48qdvre4,Recycle,41.1318243,24.863151,"2/19/2026, 2:03:43 PM",XRYSA
ID_cdushe192,Trash,41.1326582,24.8623529,"2/19/2026, 2:04:16 PM",XRYSA
ID_yp7az73m0,Trash,41.1330518,24.859963,"2/19/2026, 2:05:17 PM",XRYSA
ID_htkxucnzd,Trash,41.1330518,24.859963,"2/19/2026, 2:05:17 PM",XRYSA
ID_x04jfsf8k,Recycle,41.1330518,24.859963,"2/19/2026, 2:05:18 PM",XRYSA
ID_iqm5ih6wl,Trash,41.1336074,24.8597786,"2/19/2026, 2:05:43 PM",XRYSA
ID_bsa0823t1,Trash,41.1313796,24.8629429,"2/19/2026, 2:07:17 PM",XRYSA
ID_tssmj4w1y,Trash,41.1318722,24.8612876,"2/19/2026, 2:08:18 PM",XRYSA
ID_huuxvxe8x,Trash,41.1318722,24.8612876,"2/19/2026, 2:08:18 PM",XRYSA
